Codigo Arenisca Grano_medio Grano_fino Grano_muy_fino Lodolita Lodolita_negra Limolita Tallada Pulida Bloque Canto Largo Ancho Espesor Uso Descarte Manufactura Reciclado Abastecimiento
CO_147_2_29_B_G27_1 1 0 0 0 0 0 0 1 0 0 0 8.44 4.86 2.86 0 0 1 0 0
CO_147_2_29_B_G6_2 0 0 0 0 1 0 0 1 0 1 0 6.9 4.97 2.16 1 0 0 0 0
CO_147_2_29_B_F8_3 0 0 0 0 1 0 0 1 0 0 0 6.3 5.85 1.79 0 1 0 0 0
CO_147_2_29_B_D6_3 0 0 0 0 1 0 0 1 0 0 0 6.41 1.91 0.73 0 1 0 0 0
CO_147_2_29_B_D30 0 0 0 0 1 0 0 1 0 0 0 3.63 5.03 1.85 1 0 0 0 0
CO_147_2_29_B_D39 0 0 0 0 1 0 0 1 0 1 0 4.24 2.84 1.93 0 1 0 0 0
CO_147_2_29_B_C39 0 0 0 0 1 0 0 1 0 0 0 6.39 12.44 3.2 1 0 0 0 0
CO_147_2_29_B_C21 0 0 0 0 1 0 0 1 0 0 0 3.28 2.2 0.6 1 0 0 0 0
CO_147_2_29_B_A40 0 0 0 0 1 0 0 1 0 0 0 7.97 4.03 1.66 1 0 0 0 0
CO_147_2_29_B_A20_3 0 0 0 0 1 0 0 1 0 0 0 1.87 3.97 0.82 0 1 0 0 0
CO_147_2_29_B_A20_4 0 0 0 0 1 0 0 1 0 0 0 2.5 2.24 1.16 1 0 0 0 0
CO_147_2_29_B_F7_3 0 0 0 0 1 0 0 1 0 0 0 4.86 5.84 0.68 1 0 0 0 0
CO_147_2_29_B_F9_1 0 0 0 0 1 0 0 1 0 0 0 3.2 3.06 0.76 1 0 0 0 0
CO_147_2_29_B_F9_2 0 0 0 0 1 0 0 1 0 0 0 4.2 2.65 1.29 0 1 0 0 0
CO_147_2_29_B_F9_3 0 0 0 0 1 0 0 1 0 0 0 2.7 2.67 0.75 1 0 0 0 0
CO_147_2_29_B_C10_3 0 0 0 0 1 0 0 1 0 0 0 5.66 3.9 0.82 1 0 0 0 0
CO_147_2_29_B_C10_4 0 0 0 0 1 0 0 1 0 0 0 2.66 5.98 1.16 1 0 0 0 0
CO_147_2_29_B_D26_2 0 0 0 0 1 0 0 1 0 0 0 7.05 8.24 1.1 1 0 0 0 0
CO_147_2_29_B_D28_1 0 0 0 0 1 0 0 1 0 0 0 4.22 4.37 1.28 0 1 0 0 0
CO_147_2_29_B_H32 0 0 0 0 1 0 0 1 0 0 0 6.05 9.34 1.65 1 0 0 0 0
CO_147_2_29_B_B24 0 0 0 0 1 0 0 1 0 0 0 3.72 8.2 1.8 1 0 0 0 0
CO_147_2_29_B_F6 0 0 0 0 1 0 0 1 0 0 0 3.23 6.13 1.26 1 0 0 0 0
CO_146_2_29_A_B5_1 0 0 0 0 1 0 0 1 0 0 0 4.57 3.5 1.23 1 0 0 0 0
CO_146_2_29_A_B5_2 0 0 0 0 1 0 0 1 0 1 0 3.2 3.76 0.77 0 1 0 0 0
CO_146_2_29_A_E4_1 0 0 0 0 1 0 0 1 0 0 0 4.9 6.77 1.66 1 0 0 0 0
CO_146_2_29_A_E4_2 0 0 0 0 1 0 0 1 0 0 0 5.29 3.82 2.37 0 1 0 0 0
CO_146_2_29_A_E4_3 0 0 0 0 1 0 0 1 0 0 0 5.16 3.84 1.56 1 0 0 0 0
CO_146_2_29_A_E4_4 0 0 0 0 1 0 0 1 0 1 0 3.52 2.78 1.57 0 1 0 0 0
CO_146_2_29_A_C5_1 0 0 0 0 1 0 0 1 0 0 0 4.43 4.27 0.66 1 0 0 0 0
CO_146_2_29_A_C5_2 0 0 0 0 1 0 0 1 0 0 0 3.15 4.69 1.51 1 0 0 0 0
CO_146_2_29_A_A5_2 0 0 0 0 1 0 0 1 0 1 0 7.21 7.97 1.28 1 0 0 0 0
CO_146_2_29_A_A5_3 0 0 0 0 1 0 0 1 0 0 0 9.2 5.92 1.53 1 0 0 0 0
CO_146_2_29_A_A1_1 0 0 0 0 1 0 0 1 0 0 0 3.06 6.37 0.75 1 0 0 0 0
CO_146_2_29_A_A1_2 0 0 0 0 1 0 0 1 0 0 0 2.85 5.6 0.14 1 0 0 0 0
CO_146_2_29_A_A1_3 0 0 0 0 1 0 0 1 0 0 0 6.82 10.07 1.55 1 0 0 0 0
CO_146_2_29_A_F4_1 0 0 0 0 1 0 0 1 0 1 0 5.13 4.3 1.81 1 0 0 0 0
CO_146_2_29_A_F4_2 0 0 0 0 1 0 0 1 0 0 0 4.49 5.09 1.64 1 0 0 0 0
CO_146_2_29_A_F4_3 0 0 0 0 1 0 0 1 0 0 0 2.73 3.97 1.24 1 0 0 0 0
CO_146_2_29_A_F4_4 0 0 0 0 1 0 0 1 0 0 0 2.66 3.25 1.69 1 0 0 0 0
CO_146_2_29_A_F4_5 0 0 0 0 1 0 0 1 0 0 0 5.07 5.94 1.32 1 0 0 0 0
CO_146_2_29_A_F4_6 0 0 0 0 1 0 0 1 0 0 0 2.99 2.09 0.57 0 1 0 0 0
CO_146_2_29_A_A1_5 0 0 0 0 1 0 0 1 0 0 0 3.95 5.18 2.13 0 0 0 1 0
CO_146_2_29_A_A2_1 0 0 0 0 1 0 0 1 0 1 0 2.9 1.84 0.65 0 1 0 0 0
CO_146_2_29_A_A-1_1 0 0 0 0 1 0 0 1 0 0 0 3.51 5.47 1.05 1 0 0 0 0
CO_146_2_29_A_A-1_2 0 0 0 0 1 0 0 1 0 0 0 4.59 2.97 0.67 1 0 0 0 0
CO_146_2_29_A_A-2_1 0 0 0 0 1 0 0 1 0 0 0 6.22 7.26 2.52 1 0 0 0 0
CO_146_2_29_A_A-2_3 0 0 0 0 1 0 0 1 0 1 0 4.07 4.52 1.08 0 0 0 1 0
CO_146_2_29_A_A-3_1 0 0 0 0 1 0 0 1 0 0 0 3.09 5.24 0.86 1 0 0 0 0
CO_146_2_29_A_A-3_3 0 0 0 0 1 0 0 1 0 0 0 3.14 3.94 0.57 1 0 0 0 0
CO_146_2_29_A_A-3_4 0 0 0 0 1 0 0 1 0 0 0 3.41 5.67 1.26 1 0 0 0 0
CO_146_2_29_A_A-3_5 0 0 0 0 1 0 0 1 0 0 0 2.46 5.25 1.88 0 1 0 0 0
CO_146_2_29_A_A-3_6 0 0 0 0 1 0 0 1 0 0 0 4 1.63 1.44 1 0 0 0 0
CO_146_2_29_A_A-3_7 0 0 0 0 1 0 0 1 0 0 0 7.36 11.79 2.85 1 0 0 0 0
CO_146_2_29_A_E4_5 0 1 0 0 0 0 0 1 0 0 0 5.35 4.23 0.85 0 1 0 0 0
CO_146_2_29_A_E4_6 0 0 0 0 1 0 0 1 0 0 0 2 3.49 1.07 1 0 0 0 0
CO_146_2_29_A_E4_7 0 0 0 0 1 0 0 1 0 0 0 2.4 3.02 0.89 1 0 0 0 0
CO_146_2_29_A_E4_8 0 0 0 0 1 0 0 1 0 0 0 6.38 3.8 2 0 1 0 0 0
CO_146_2_29_A_E4_9 0 0 0 0 1 0 0 1 0 1 0 3.43 2.56 0.22 1 0 0 0 0
CO_146_2_29_A_E4_10 0 0 0 0 1 0 0 1 0 0 0 4.17 6.14 1.82 1 0 0 0 0
CO_146_2_29_A_E4_11 0 0 0 0 1 0 0 1 0 1 0 7.22 6.55 2.92 0 1 0 0 0
CO_146_2_29_A_E4_12 0 0 0 0 1 0 0 1 0 0 0 6.29 6.05 4.98 0 0 1 0 0
CO_146_2_29_A_C-1_1 0 0 0 0 1 0 0 1 0 1 0 1.88 2.69 0.38 1 0 0 0 0
CO_146_2_29_A_C-1_2 0 0 0 0 1 0 0 1 0 0 0 1.11 1.67 0.22 0 1 0 0 0
CO_146_2_29_A_C-1_3 0 0 0 0 1 0 0 1 0 0 0 1.76 1.64 0.7 1 0 0 0 0
CO_146_2_29_A_C-1_4 0 0 0 0 1 0 0 1 0 0 0 4.08 6.11 1.15 0 1 0 0 0
CO_146_2_29_A_C-1_5 0 0 0 0 1 0 0 1 0 0 0 2.46 4.45 0.99 1 0 0 0 0
CO_146_2_29_A_C-1_6 0 0 0 0 1 0 0 1 0 1 0 2.03 3.63 0.92 1 0 0 0 0
CO_146_2_29_A_C-1_7 0 0 0 0 1 0 0 1 0 0 0 3.26 2.93 1.11 1 0 0 0 0
CO_146_2_29_A_B1_1 0 0 1 0 0 0 0 1 0 0 0 4.29 2.47 0.97 1 0 0 0 0
CO_146_2_29_A_B1_2 0 0 0 0 1 0 0 1 0 0 0 7.72 3.12 1.03 0 1 0 0 0
CO_146_2_29_A_B1_3 0 0 0 0 1 0 0 1 0 0 0 4.17 4.28 1.37 1 0 0 0 0
CO_146_2_29_A_B1_4 0 0 0 0 1 0 0 1 0 1 0 3 2.79 2.08 0 1 0 0 0
CO_146_2_29_A_B1_9 0 0 0 0 1 0 0 1 0 0 0 2.71 3.83 0.8 1 0 0 0 0
CO_146_2_29_A_B1_10 0 0 0 0 1 0 0 1 0 1 0 2.08 1.75 0.44 0 1 0 0 0
CO_146_2_29_A_G3_1 0 0 0 0 1 0 0 1 0 0 0 2.42 2.02 0.46 1 0 0 0 0
CO_146_2_29_A_G3_2 0 0 0 0 1 0 0 1 0 1 0 2.22 1.81 0.25 1 0 0 0 0
CO_146_2_29_A_G3_3 0 0 0 0 1 0 0 1 0 0 0 2.41 3.78 1.19 0 1 0 0 0
CO_146_2_29_A_G3_4 0 0 0 0 1 0 0 1 0 0 0 2.7 3.71 0.89 1 0 0 0 0
CO_146_2_29_A_G3_5 0 0 0 0 1 0 0 1 0 1 0 3.4 3.97 1.72 1 0 0 0 0
CO_146_2_29_A_G3_6 0 0 0 0 1 0 0 1 0 1 0 1.83 2.25 0.67 0 1 0 0 0
CO_146_2_29_A_G3_7 0 0 0 0 1 0 0 1 0 0 0 9.02 4.86 0.79 1 0 0 0 0
CO_146_2_29_A_G3_8 0 0 0 0 1 0 0 1 0 0 0 2.55 1.93 0.35 1 0 0 0 0
